Ref,Val,Package,PosX,PosY,Rot,Side
C107,0.033,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,111.461000,-71.863000,180.000000,top
C108,0.033,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,115.398000,-51.397000,180.000000,top
C109,0.033,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,115.398000,-71.863000,0.000000,top
C116,2.2u,C_1210_3225Metric_Pad1.42x2.65mm_HandSolder,92.000000,-51.400000,0.000000,top
C117,1000p,C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,142.679700,-32.693300,90.000000,top
C118,1000p,C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,156.493200,-58.564300,180.000000,top
C119,1000p,C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,156.493200,-71.663300,0.000000,top
C120,1000p,C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,142.729700,-96.723300,90.000000,top
C122,2.2u,C_1210_3225Metric_Pad1.42x2.65mm_HandSolder,131.287000,-65.113000,180.000000,top
C123,0.01,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,144.304800,-46.470000,180.000000,top
C124,0.01,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,144.304800,-49.021200,0.000000,top
C125,0.01,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,144.314800,-65.113000,180.000000,top
C126,0.01,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,146.412700,-96.723300,90.000000,top
C127,2.2u,C_1210_3225Metric_Pad1.42x2.65mm_HandSolder,217.425000,-75.000000,0.000000,top
DA1,LM1117-3.3,SOT-223,156.814000,-111.468000,0.000000,top
DA2,LM2596S-ADJ,TO-263-5_TabPin3,224.557200,-83.197466,0.000000,top
DA3,LM2596S-ADJ,TO-263-5_TabPin3,198.157200,-41.030800,0.000000,top
DA4,OPA1632-NewComponents_KiCad,MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm_ThermalVias,90.901000,-97.752000,180.000000,top
DA5,OPA1632-NewComponents_KiCad,MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm_ThermalVias,78.328000,-83.528000,180.000000,top
DA6,LM1117-3.3,SOT-223,130.652000,-162.268000,0.000000,top
DD1,74LVC1G125,SOT-23-5,149.194000,-152.870000,180.000000,top
DD2,74LVC1G125,SOT-23-5,149.194000,-157.950000,180.000000,top
DD3,ADAU1701,LQFP-48_7x7mm_P0.5mm,123.032000,-130.264000,0.000000,top
DD4,74LVC1G125,SOT-23-5,150.772000,-134.262000,90.000000,top
DD5,74LVC1G125,SOT-23-5,141.066000,-136.360000,0.000000,top
DD6,74LVC1G125,SOT-23-5,141.066000,-144.742000,0.000000,top
DD7,NC7S08M5X,SOT-23-5,155.390000,-138.128000,180.000000,top
DD8,25LCxxx,SOIC-8_5.23x5.23mm_P1.27mm,104.744000,-154.394000,0.000000,top
DD9,25LCxxx,SOIC-8_5.23x5.23mm_P1.27mm,104.744000,-145.631000,0.000000,top
DD10,STM32F042K6Tx,LQFP-32_7x7mm_P0.8mm,83.916000,-130.264000,180.000000,top
L1,MMZ2012S601AT000,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,172.978000,-162.052000,90.000000,top
L2,MMZ2012S601AT000,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,172.978000,-153.416000,90.000000,top
L3,INDUCTOR,L_0029v2,141.100000,-75.500000,0.000000,top
L3,10?H,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,105.252000,-50.799000,180.000000,top
L3,INDUCTOR,L_0029v2,133.000000,-33.600000,270.000000,top
L3,INDUCTOR,L_0029v2,133.000000,-96.500000,270.000000,top
